episode,year,return,avg_loss,epsilon,yield,water,buffer_size,eval_avg_return,eval_std_return,eval_avg_water,eval_avg_yield,eval_n_eval
1,2010,560.2799072265625,,1.0,919.2799072265625,3590.0,121,,,,,
2,2011,517.3853759765625,,1.0,832.8853759765625,3155.0,241,,,,,
3,2016,746.440673828125,,1.0,1116.940673828125,3705.0,362,,,,,
4,2020,424.249267578125,,1.0,772.249267578125,3480.0,484,,,,,
5,2000,860.8499755859375,,1.0,1216.8499755859375,3560.0,602,,,,,
6,2003,297.67559814453125,,1.0,636.1755981445312,3385.0,724,,,,,
7,2018,452.1767578125,,1.0,809.6767578125,3575.0,848,,,,,
8,2020,381.4453125,,1.0,664.9453125,2835.0,970,,,,,
9,2005,177.66708374023438,,1.0,510.6670837402344,3330.0,1094,,,,,
10,2006,485.9976806640625,,1.0,835.9976806640625,3500.0,1216,,,,,
11,2019,121.22158813476562,,1.0,441.7215881347656,3205.0,1345,,,,,
12,2009,258.334716796875,,1.0,617.334716796875,3590.0,1473,,,,,
13,2006,492.1668701171875,,1.0,827.1668701171875,3350.0,1595,,,,,
14,2018,388.2430419921875,,1.0,746.7430419921875,3585.0,1719,,,,,
15,2005,201.7381591796875,,1.0,519.7381591796875,3180.0,1843,,,,,
16,2009,234.83868408203125,,1.0,579.3386840820312,3445.0,1971,,,,,
17,2014,422.4197998046875,14811.13451081963,0.991165,803.9197998046875,3815.0,2092,,,,,
18,2018,479.973876953125,957.2487010340536,0.979385,815.473876953125,3355.0,2216,,,,,
19,2008,237.0609130859375,879.4890706752374,0.9677,608.5609130859375,3715.0,2339,,,,,
20,2002,288.718505859375,984.2424901531589,0.95592,656.218505859375,3675.0,2463,,,,,
21,2020,463.6104736328125,974.6785759847672,0.94433,815.1104736328125,3515.0,2585,,,,,
22,2005,165.83651733398438,1258.5598713044196,0.93255,510.8365173339844,3450.0,2709,,,,,
23,2005,163.90447998046875,1388.4774722437705,0.92077,533.9044799804688,3700.0,2833,,,,,
24,2003,269.60760498046875,1574.9306705662461,0.90918,649.1076049804688,3795.0,2955,,,,,
25,2014,401.94390869140625,2084.751650723544,0.897685,787.9439086914062,3860.0,3076,197.72738647460938,0.969635009765625,4007.5,598.4773864746094,2.0
26,2014,374.4609375,2064.8289146738603,0.88619,715.9609375,3415.0,3197,,,,,
27,2005,228.00439453125,1055.7552852938252,0.87441,576.50439453125,3485.0,3321,,,,,
28,2016,686.2147216796875,1376.353444848179,0.862915,1033.2147216796875,3470.0,3442,,,,,
29,2020,454.25701904296875,1163.5699405670166,0.851325,820.2570190429688,3660.0,3564,,,,,
30,2014,375.6251220703125,1370.761168929171,0.8398300000000001,767.1251220703125,3915.0,3685,,,,,
31,2004,523.4522705078125,1116.4054785869162,0.8282400000000001,892.9522705078125,3695.0,3807,,,,,
32,2000,830.38134765625,1138.8091960842326,0.81703,1177.38134765625,3470.0,3925,,,,,
33,2014,372.90802001953125,1449.2795550133571,0.805535,738.4080200195312,3655.0,4046,,,,,
